TF_	TF_information	target	Target_info	interaction_type
FOS	TF	ACTA1	Tar	Unknown
FOS	TF	BATF3	Tar	Unknown
FOS	TF	BCL2L1	Tar	Unknown
FOS	TF	CASP9	Tar	Activation
FOS	TF	CCK	Tar	Activation
FOS	TF	CCK	Tar	Unknown
FOS	TF	CCND1	Tar	Repression
FOS	TF	CD40LG	Tar	Unknown
FOS	TF	CLU	Tar	Repression
FOS	TF	CREM	Tar	Activation
FOS	TF	CRP	Tar	Unknown
FOS	TF	CSTA	Tar	Unknown
FOS	TF	CXCL8	Tar	Unknown
FOS	TF	CYP1A2	Tar	Unknown
FOS	TF	DDIT3	Tar	Activation
FOS	TF	ERCC4	Tar	Activation
FOS	TF	EZR	Tar	Activation
FOS	TF	FAS	Tar	Activation
FOS	TF	FGFBP1	Tar	Unknown
FOS	TF	VEGFD	Tar	Unknown
FOS	TF	FMO4	Tar	Activation
FOS	TF	FOS	Tar	Repression
FOS	TF	FOXA1	Tar	Unknown
FOS	TF	GSTP1	Tar	Unknown
FOS	TF	HSPH1	Tar	Activation
FOS	TF	IL1A	Tar	Unknown
FOS	TF	LRIG2	Tar	Unknown
FOS	TF	MELTF	Tar	Unknown
FOS	TF	MMP1	Tar	Activation
FOS	TF	MMP1	Tar	Unknown
FOS	TF	MMP3	Tar	Unknown
FOS	TF	MMP7	Tar	Unknown
FOS	TF	MMP9	Tar	Activation
FOS	TF	MMP9	Tar	Repression
FOS	TF	MMP9	Tar	Unknown
FOS	TF	MYC	Tar	Repression
FOS	TF	NEFL	Tar	Activation
FOS	TF	NFKB1	Tar	Repression
FOS	TF	NGF	Tar	Unknown
FOS	TF	NOS2	Tar	Activation
FOS	TF	NOS2	Tar	Repression
FOS	TF	NPPA	Tar	Unknown
FOS	TF	NPY	Tar	Unknown
FOS	TF	NQO1	Tar	Unknown
FOS	TF	NTF3	Tar	Unknown
FOS	TF	NTS	Tar	Unknown
FOS	TF	OXTR	Tar	Unknown
FOS	TF	PCK2	Tar	Unknown
FOS	TF	PDHA1	Tar	Unknown
FOS	TF	PGR	Tar	Unknown
FOS	TF	PLAU	Tar	Unknown
FOS	TF	PLAUR	Tar	Unknown
FOS	TF	PTGS2	Tar	Activation
FOS	TF	PTGS2	Tar	Unknown
FOS	TF	SLC10A2	Tar	Repression
FOS	TF	SMAD4	Tar	Unknown
FOS	TF	SMAD7	Tar	Activation
FOS	TF	SOX7	Tar	Activation
FOS	TF	SPI1	Tar	Repression
FOS	TF	SPRR3	Tar	Unknown
FOS	TF	SRR	Tar	Activation
FOS	TF	STAR	Tar	Unknown
FOS	TF	TP53	Tar	Unknown
FOSB	TF	CXCL8	Tar	Activation
FOSB	TF	TGFB1	Tar	Unknown
FOSB	TF	TIMP1	Tar	Repression
FOSB	TF	TIMP1	Tar	Unknown
FOSL1	TF	CLU	Tar	Unknown
FOSL1	TF	EZH2	Tar	Unknown
FOSL1	TF	GCLC	Tar	Unknown
FOSL1	TF	ITGAV	Tar	Repression
FOSL1	TF	ITGB3	Tar	Repression
FOSL1	TF	IVL	Tar	Unknown
FOSL1	TF	MMP1	Tar	Unknown
FOSL1	TF	PLAUR	Tar	Unknown
FOSL1	TF	SFTPD	Tar	Unknown
FOSL2	TF	BCL6	Tar	Activation
FOSL2	TF	BRCA1	Tar	Activation
FOSL2	TF	CCR4	Tar	Activation
FOSL2	TF	CLU	Tar	Unknown
FOSL2	TF	FOSL1	Tar	Activation
FOSL2	TF	IBSP	Tar	Unknown
FOSL2	TF	IL5	Tar	Unknown
FOSL2	TF	IVL	Tar	Unknown
FOSL2	TF	MDM2	Tar	Activation
FOSL2	TF	MYB	Tar	Activation
FOSL2	TF	NOS2	Tar	Activation
FOSL2	TF	PLAUR	Tar	Unknown
FOSL2	TF	TGFB1	Tar	Unknown
FOSL2	TF	TIMP1	Tar	Repression
FOSL2	TF	UGT2B15	Tar	Activation
FOXA1	TF	ABCA1	Tar	Repression
FOXA1	TF	AGR2	Tar	Unknown
FOXA1	TF	APOB	Tar	Activation
FOXA1	TF	BCL2	Tar	Repression
FOXA1	TF	BRCA1	Tar	Unknown
FOXA1	TF	CCNG2	Tar	Unknown
FOXA1	TF	CFTR	Tar	Repression
FOXA1	TF	ESR1	Tar	Unknown
FOXA1	TF	GCG	Tar	Unknown
FOXA1	TF	HSPA1A	Tar	Activation
FOXA1	TF	KRT7	Tar	Activation
FOXA1	TF	MYC	Tar	Unknown
FOXA1	TF	NF1	Tar	Activation
FOXA1	TF	NKX2-1	Tar	Unknown
FOXA1	TF	RET	Tar	Unknown
FOXA1	TF	RPRM	Tar	Repression
FOXA1	TF	SERPINC1	Tar	Repression
FOXA1	TF	SFTPB	Tar	Activation
FOXA1	TF	TFF1	Tar	Unknown
FOXA1	TF	UGT2B15	Tar	Unknown
FOXA1	TF	UGT2B17	Tar	Activation
FOXA2	TF	ABCA1	Tar	Repression
FOXA2	TF	AGR2	Tar	Unknown
FOXA2	TF	APOA1	Tar	Unknown
FOXA2	TF	CDH1	Tar	Activation
FOXA2	TF	CFTR	Tar	Repression
FOXA2	TF	COL18A1	Tar	Unknown
FOXA2	TF	GCG	Tar	Unknown
FOXA2	TF	GFER	Tar	Unknown
FOXA2	TF	MMP7	Tar	Activation
FOXA2	TF	NKX2-1	Tar	Unknown
FOXA2	TF	NR5A2	Tar	Activation
FOXA2	TF	PAX6	Tar	Repression
FOXA2	TF	SERPINC1	Tar	Repression
FOXA2	TF	SLCO1B3	Tar	Unknown
FOXA2	TF	SOX14	Tar	Activation
FOXA2	TF	TCF7L2	Tar	Unknown
FOXA2	TF	TFF1	Tar	Unknown
FOXA2	TF	TPO	Tar	Activation
FOXA3	TF	CYP3A4	Tar	Unknown
FOXA3	TF	CYP3A7	Tar	Unknown
FOXC1	TF	FGF19	Tar	Activation
FOXC1	TF	FOXO1	Tar	Unknown
FOXC2	TF	ANGPT2	Tar	Unknown
FOXD3	TF	CAPN6	Tar	Unknown
FOXD3	TF	CYFIP2	Tar	Activation
FOXD3	TF	MITF	Tar	Repression
FOXD3	TF	NDRG1	Tar	Activation
FOXD3	TF	RARB	Tar	Activation
FOXD3	TF	RND3	Tar	Unknown
FOXD3	TF	SPP1	Tar	Activation
FOXD3	TF	ZNF175	Tar	Unknown
FOXE1	TF	MSX1	Tar	Activation
FOXE1	TF	TPO	Tar	Unknown
FOXF1	TF	CDH1	Tar	Unknown
FOXF1	TF	GH2	Tar	Activation
FOXF2	TF	BAMBI	Tar	Activation
FOXF2	TF	CXCL12	Tar	Activation
FOXF2	TF	ITGB1	Tar	Repression
FOXF2	TF	MT1E	Tar	Repression
FOXF2	TF	MT1F	Tar	Repression
FOXF2	TF	PDGFA	Tar	Repression
FOXF2	TF	PSG7	Tar	Repression
FOXF2	TF	WASF2	Tar	Activation
FOXG1	TF	CDKN1A	Tar	Repression
FOXH1	TF	AR	Tar	Repression
FOXH1	TF	CTCF	Tar	Unknown
FOXI1	TF	CFTR	Tar	Repression
FOXI1	TF	SLC26A4	Tar	Unknown
FOXJ1	TF	ASPM	Tar	Unknown
FOXK2	TF	IL2	Tar	Unknown
FOXK2	TF	SIN3A	Tar	Unknown
FOXL1	TF	BMP4	Tar	Activation
FOXL2	TF	CCND2	Tar	Repression
FOXL2	TF	CYP11A1	Tar	Repression
FOXL2	TF	CYP19A1	Tar	Repression
FOXL2	TF	SIRT1	Tar	Activation
FOXL2	TF	STAR	Tar	Repression
FOXM1	TF	APOE	Tar	Unknown
FOXM1	TF	AR	Tar	Activation
FOXM1	TF	BRIP1	Tar	Unknown
FOXM1	TF	BTG2	Tar	Activation
FOXM1	TF	CCNB1	Tar	Activation
FOXM1	TF	CDC25A	Tar	Unknown
FOXM1	TF	CDC25B	Tar	Activation
FOXM1	TF	CDC6	Tar	Activation
FOXM1	TF	CDH1	Tar	Unknown
FOXM1	TF	CDKN2A	Tar	Repression
FOXM1	TF	CYP3A4	Tar	Unknown
FOXM1	TF	FGB	Tar	Repression
FOXM1	TF	KRT15	Tar	Unknown
FOXM1	TF	MYC	Tar	Activation
FOXM1	TF	SFTPB	Tar	Activation
FOXM1	TF	VEGFA	Tar	Unknown
FOXM1	TF	VEGFB	Tar	Unknown
FOXN1	TF	DSG4	Tar	Repression
FOXN4	TF	PANK2	Tar	Unknown
FOXO1	TF	ADIPOR1	Tar	Activation
FOXO1	TF	ANGPT2	Tar	Unknown
FOXO1	TF	AR	Tar	Repression
FOXO1	TF	CDKN1B	Tar	Activation
FOXO1	TF	CXCR4	Tar	Activation
FOXO1	TF	EDN1	Tar	Unknown
FOXO1	TF	EGR1	Tar	Repression
FOXO1	TF	FABP4	Tar	Activation
FOXO1	TF	FSHB	Tar	Repression
FOXO1	TF	HYOU1	Tar	Unknown
FOXO1	TF	IGFBP1	Tar	Activation
FOXO1	TF	IGFBP1	Tar	Repression
FOXO1	TF	IGFBP1	Tar	Unknown
FOXO1	TF	IL6	Tar	Activation
FOXO1	TF	IRS2	Tar	Unknown
FOXO1	TF	KLF2	Tar	Unknown
FOXO1	TF	LHB	Tar	Unknown
FOXO1	TF	NEUROG3	Tar	Unknown
FOXO1	TF	NKX6-1	Tar	Unknown
FOXO1	TF	NLK	Tar	Unknown
FOXO1	TF	PDGFA	Tar	Unknown
FOXO1	TF	PDGFB	Tar	Unknown
FOXO1	TF	PRL	Tar	Unknown
FOXO1	TF	RAG1	Tar	Unknown
FOXO1	TF	TNFSF10	Tar	Activation
FOXO1	TF	TXNIP	Tar	Repression
FOXO3	TF	AR	Tar	Activation
FOXO3	TF	AR	Tar	Unknown
FOXO3	TF	BBC3	Tar	Unknown
FOXO3	TF	BCL2L11	Tar	Unknown
FOXO3	TF	BCL6	Tar	Activation
FOXO3	TF	BIRC5	Tar	Unknown
FOXO3	TF	CCND2	Tar	Repression
FOXO3	TF	CDKN2B	Tar	Unknown
FOXO3	TF	FASLG	Tar	Activation
FOXO3	TF	FOXM1	Tar	Repression
FOXO3	TF	GALT	Tar	Activation
FOXO3	TF	MYOCD	Tar	Repression
FOXO3	TF	PIK3CA	Tar	Unknown
FOXO3	TF	SIRT1	Tar	Activation
FOXO3	TF	SIRT6	Tar	Activation
FOXO3	TF	TNFSF10	Tar	Activation
FOXO3	TF	TXNIP	Tar	Activation
FOXO3	TF	VEGFA	Tar	Unknown
FOXO3	TF	VEGFB	Tar	Unknown
FOXO4	TF	BCL6	Tar	Activation
FOXO4	TF	CREB1	Tar	Activation
FOXO4	TF	HIF1A	Tar	Repression
FOXO4	TF	PSMD11	Tar	Unknown
FOXO4	TF	SOD2	Tar	Activation
FOXO4	TF	TNFSF10	Tar	Activation
FOXP1	TF	HIP1R	Tar	Unknown
FOXP1	TF	KLK3	Tar	Repression
FOXP1	TF	RAG1	Tar	Unknown
FOXP2	TF	CNTNAP2	Tar	Repression
FOXP2	TF	CNTNAP2	Tar	Unknown
FOXP2	TF	MET	Tar	Repression
FOXP2	TF	NKX2-1	Tar	Repression
FOXP2	TF	PLAUR	Tar	Activation
FOXP2	TF	PLAUR	Tar	Unknown
FOXP2	TF	SRPX	Tar	Activation
FOXP2	TF	SRPX2	Tar	Unknown
FOXP3	TF	BRCA1	Tar	Repression
FOXP3	TF	CCR4	Tar	Activation
FOXP3	TF	CDKN1A	Tar	Unknown
FOXP3	TF	ERBB2	Tar	Unknown
FOXP3	TF	IL10	Tar	Unknown
FOXP3	TF	IL2	Tar	Repression
FOXP3	TF	IL2RA	Tar	Activation
FOXP3	TF	SATB1	Tar	Unknown
FOXP3	TF	TLR10	Tar	Unknown
FOXP3	TF	USP21	Tar	Activation
FOXP3	TF	ZNF205	Tar	Unknown
FOXQ1	TF	BCL11A	Tar	Activation
FOXQ1	TF	CDH1	Tar	Unknown
FOXQ1	TF	RSPO2	Tar	Activation
FOXQ1	TF	TWIST1	Tar	Activation
FOXQ1	TF	VEGFA	Tar	Activation
FOXQ1	TF	WNT3A	Tar	Activation
FUBP1	TF	CDKN1A	Tar	Unknown
FUBP1	TF	MYC	Tar	Unknown
FUBP3	TF	FGF9	Tar	Unknown
FUS	TF	AR	Tar	Unknown
FUS	TF	DDIT3	Tar	Activation
FUS	TF	KLK3	Tar	Unknown
FUS	TF	MDM2	Tar	Repression
GABPA	TF	ERBB2	Tar	Unknown
GABPA	TF	OXTR	Tar	Unknown
GABPA	TF	RPS3A	Tar	Unknown
GABPA	TF	TOMM70	Tar	Activation
GABPA	TF	ZNF205	Tar	Unknown
GABPB1	TF	OXTR	Tar	Unknown
GABPB2	TF	RPS3A	Tar	Unknown
GATA1	TF	AGGF1	Tar	Activation
GATA1	TF	ALAS2	Tar	Unknown
GATA1	TF	BACE1	Tar	Unknown
GATA1	TF	BACH1	Tar	Activation
GATA1	TF	BDKRB1	Tar	Unknown
GATA1	TF	BST2	Tar	Activation
GATA1	TF	CBFB	Tar	Repression
GATA1	TF	CCR3	Tar	Unknown
GATA1	TF	CDA	Tar	Activation
GATA1	TF	CDC6	Tar	Activation
GATA1	TF	CEBPA	Tar	Repression
GATA1	TF	COPS5	Tar	Unknown
GATA1	TF	CYBB	Tar	Activation
GATA1	TF	DACH1	Tar	Repression
GATA1	TF	DICER1	Tar	Activation
GATA1	TF	DPYSL2	Tar	Unknown
GATA1	TF	EPO	Tar	Activation
GATA1	TF	EPO	Tar	Repression
GATA1	TF	EPOR	Tar	Activation
GATA1	TF	EPOR	Tar	Unknown
GATA1	TF	F13A1	Tar	Unknown
GATA1	TF	FCER1A	Tar	Activation
GATA1	TF	FCER1A	Tar	Unknown
GATA1	TF	FLI1	Tar	Unknown
GATA1	TF	FURIN	Tar	Unknown
GATA1	TF	GATA1	Tar	Activation
GATA1	TF	GATA1	Tar	Unknown
GATA1	TF	GFI1B	Tar	Unknown
GATA1	TF	GNAS	Tar	Unknown
GATA1	TF	GP1BB	Tar	Activation
GATA1	TF	GP1BB	Tar	Unknown
GATA1	TF	GP6	Tar	Activation
GATA1	TF	GP9	Tar	Activation
GATA1	TF	GP9	Tar	Unknown
GATA1	TF	GYPB	Tar	Activation
GATA1	TF	HBA1	Tar	Unknown
GATA1	TF	HBA2	Tar	Unknown
GATA1	TF	HBB	Tar	Unknown
GATA1	TF	HBE1	Tar	Unknown
GATA1	TF	HBG1	Tar	Unknown
GATA1	TF	HEMGN	Tar	Repression
GATA1	TF	HEMGN	Tar	Unknown
GATA1	TF	PBXIP1	Tar	Unknown
GATA1	TF	IFNG	Tar	Unknown
GATA1	TF	IL1RL1	Tar	Unknown
GATA1	TF	ITGA2B	Tar	Unknown
GATA1	TF	KLF1	Tar	Unknown
GATA1	TF	LTBP4	Tar	Unknown
GATA1	TF	MPL	Tar	Activation
GATA1	TF	MUC1	Tar	Unknown
GATA1	TF	NFE2	Tar	Unknown
GATA1	TF	PBXIP1	Tar	Unknown
GATA1	TF	PF4	Tar	Activation
GATA1	TF	PPOX	Tar	Unknown
GATA1	TF	PRG2	Tar	Activation
GATA1	TF	PTGFR	Tar	Repression
GATA1	TF	RUNX1	Tar	Unknown
GATA1	TF	SEMG1	Tar	Unknown
GATA1	TF	SMAD1	Tar	Unknown
GATA1	TF	SPI1	Tar	Repression
GATA1	TF	ST2	Tar	Unknown
GATA1	TF	TAL1	Tar	Unknown
GATA1	TF	TBXA2R	Tar	Activation
GATA1	TF	WT1	Tar	Activation
GATA1	TF	WT1	Tar	Unknown
GATA1	TF	ZNF268	Tar	Repression
GATA2	TF	ADH1A	Tar	Activation
GATA2	TF	ANGPT2	Tar	Unknown
GATA2	TF	AR	Tar	Activation
GATA2	TF	CYBB	Tar	Repression
GATA2	TF	DPYSL2	Tar	Unknown
GATA2	TF	EPO	Tar	Repression
GATA2	TF	ERVW-1	Tar	Activation
GATA2	TF	FCER1A	Tar	Activation
GATA2	TF	GATA1	Tar	Activation
GATA2	TF	GATA1	Tar	Unknown
GATA2	TF	IL1RL1	Tar	Unknown
GATA2	TF	MS4A2	Tar	Activation
GATA2	TF	NOS3	Tar	Activation
GATA2	TF	PECAM1	Tar	Unknown
GATA2	TF	PPARG	Tar	Repression
GATA2	TF	PRG2	Tar	Repression
GATA2	TF	SPI1	Tar	Repression
GATA2	TF	ST2	Tar	Unknown
GATA2	TF	TSHB	Tar	Unknown
GATA2	TF	WT1	Tar	Activation
GATA3	TF	ALDH1A2	Tar	Unknown
GATA3	TF	CD40LG	Tar	Activation
GATA3	TF	CD8A	Tar	Activation
GATA3	TF	CD8B	Tar	Unknown
GATA3	TF	CDH1	Tar	Activation
GATA3	TF	CDH3	Tar	Repression
GATA3	TF	CDX2	Tar	Activation
GATA3	TF	CHST4	Tar	Activation
GATA3	TF	CXCL1	Tar	Repression
GATA3	TF	EPO	Tar	Repression
GATA3	TF	EPOR	Tar	Unknown
GATA3	TF	ERG	Tar	Activation
GATA3	TF	ERVW-1	Tar	Activation
GATA3	TF	ESR1	Tar	Unknown
GATA3	TF	FOXC1	Tar	Repression
GATA3	TF	FOXC2	Tar	Repression
GATA3	TF	FUT7	Tar	Unknown
GATA3	TF	GATA3	Tar	Unknown
GATA3	TF	HSD17B1	Tar	Repression
GATA3	TF	IFNG	Tar	Unknown
GATA3	TF	IL10	Tar	Unknown
GATA3	TF	IL12RB2	Tar	Repression
GATA3	TF	IL4	Tar	Unknown
GATA3	TF	IL5	Tar	Activation
GATA3	TF	IL5	Tar	Unknown
GATA3	TF	KLK1	Tar	Unknown
GATA3	TF	LOX	Tar	Repression
GATA3	TF	MMP1	Tar	Unknown
GATA3	TF	MUC1	Tar	Activation
GATA3	TF	NFKB1	Tar	Unknown
GATA3	TF	PAEP	Tar	Activation
GATA3	TF	RELA	Tar	Unknown
GATA3	TF	SLCO4C1	Tar	Unknown
GATA3	TF	STAT4	Tar	Repression
GATA3	TF	TCF7L2	Tar	Unknown
GATA3	TF	TEK	Tar	Activation
GATA3	TF	TGFBR3	Tar	Unknown
GATA3	TF	TRA	Tar	Unknown
GATA3	TF	ZEB1	Tar	Activation
GATA4	TF	AMH	Tar	Activation
GATA4	TF	AMH	Tar	Unknown
GATA4	TF	CCND2	Tar	Activation
GATA4	TF	CYP17A1	Tar	Unknown
GATA4	TF	ERBB2	Tar	Repression
GATA4	TF	FABP2	Tar	Activation
GATA4	TF	FCGR2B	Tar	Unknown
GATA4	TF	FCGR3B	Tar	Unknown
GATA4	TF	FGF10	Tar	Unknown
GATA4	TF	HAMP	Tar	Activation
GATA4	TF	HDAC9	Tar	Repression
GATA4	TF	IAPP	Tar	Activation
GATA4	TF	IL5	Tar	Activation
GATA4	TF	NOS3	Tar	Activation
GATA4	TF	NPPA	Tar	Activation
GATA4	TF	NPPB	Tar	Unknown
GATA4	TF	SGPL1	Tar	Unknown
GATA4	TF	SI	Tar	Activation
GATA4	TF	STAR	Tar	Unknown
GATA4	TF	SUMO1	Tar	Unknown
GATA5	TF	SLC5A1	Tar	Unknown
GATA6	TF	APOA1	Tar	Unknown
GATA6	TF	CAV1	Tar	Repression
GATA6	TF	CYP11A1	Tar	Activation
GATA6	TF	CYP17A1	Tar	Activation
GATA6	TF	CYP17A1	Tar	Unknown
GATA6	TF	DAB2	Tar	Activation
GATA6	TF	DKK1	Tar	Unknown
GATA6	TF	PLAU	Tar	Repression
GATA6	TF	SULT2A1	Tar	Activation
GATA6	TF	VWF	Tar	Unknown
GBX2	TF	IL6	Tar	Activation
GCM1	TF	ERVFRD-1	Tar	Unknown
GCM1	TF	ERVW-1	Tar	Activation
GCM1	TF	MFSD2A	Tar	Unknown
GCM1	TF	PGF	Tar	Activation
GCM2	TF	CASR	Tar	Activation
GCM2	TF	PTH	Tar	Activation
GFI1	TF	BAX	Tar	Repression
GFI1	TF	CDKN1A	Tar	Unknown
GFI1	TF	CYP27B1	Tar	Repression
GFI1	TF	ELANE	Tar	Unknown
GFI1	TF	GUCY1B1	Tar	Unknown
GFI1	TF	NF1	Tar	Unknown
GFI1B	TF	MEF2C	Tar	Repression
GLI1	TF	AKT1	Tar	Unknown
GLI1	TF	BCL2	Tar	Activation
GLI1	TF	BCL2	Tar	Repression
GLI1	TF	BCL2	Tar	Unknown
GLI1	TF	BHLHE41	Tar	Activation
GLI1	TF	CDK2	Tar	Activation
GLI1	TF	CYR61	Tar	Activation
GLI1	TF	EGR2	Tar	Repression
GLI1	TF	FAS	Tar	Repression
GLI1	TF	H2AFX	Tar	Repression
GLI1	TF	IL1R2	Tar	Unknown
GLI1	TF	JUN	Tar	Unknown
GLI1	TF	MUC5AC	Tar	Activation
GLI1	TF	PDGFRA	Tar	Activation
GLI1	TF	S100A7	Tar	Unknown
GLI1	TF	S100A9	Tar	Unknown
GLI1	TF	SFRP1	Tar	Activation
GLI1	TF	SMAD4	Tar	Unknown
GLI1	TF	SOCS1	Tar	Activation
GLI1	TF	SOX9	Tar	Unknown
GLI1	TF	TNFRSF10B	Tar	Repression
GLI2	TF	BCL2	Tar	Activation
GLI2	TF	BHLHE41	Tar	Unknown
GLI2	TF	CDH1	Tar	Repression
GLI2	TF	FAS	Tar	Repression
GLI2	TF	FOXA2	Tar	Unknown
GLI2	TF	FOXC2	Tar	Unknown
GLI2	TF	FOXE1	Tar	Unknown
GLI2	TF	FOXF1	Tar	Activation
GLI2	TF	FOXF1	Tar	Unknown
GLI2	TF	FOXL1	Tar	Unknown
GLI2	TF	FST	Tar	Activation
GLI2	TF	H2AFX	Tar	Repression
GLI2	TF	IFITM5	Tar	Activation
GLI2	TF	JUN	Tar	Unknown
GLI2	TF	MUC5AC	Tar	Activation
GLI2	TF	PDGFRA	Tar	Activation
GLI2	TF	SOCS1	Tar	Activation
GLI2	TF	TNFRSF10B	Tar	Repression
GLI2	TF	WNT2B	Tar	Activation
GLI3	TF	HLA-G	Tar	Repression
GLI3	TF	SMO	Tar	Activation
GLI3	TF	VMP1	Tar	Activation
GLIS3	TF	INS	Tar	Unknown
GRHL1	TF	CYP11A1	Tar	Unknown
GSC	TF	GSC2	Tar	Unknown
GTF2A1	TF	TBP	Tar	Unknown
GTF2B	TF	BDKRB1	Tar	Unknown
GTF2F1	TF	BGLAP	Tar	Unknown
GTF2I	TF	DNAAF4	Tar	Unknown
GTF2I	TF	HSPA5	Tar	Activation
GTF2I	TF	SIRT1	Tar	Activation
GTF3A	TF	ADM	Tar	Unknown
GTF3A	TF	BAG3	Tar	Activation
GTF3A	TF	FUS	Tar	Unknown
GTF3A	TF	RAD51B	Tar	Unknown
GTF3A	TF	STAT1	Tar	Unknown
GZF1	TF	HOXA10	Tar	Repression
HAND2	TF	DBH	Tar	Activation
HAND2	TF	GATA4	Tar	Unknown
HAND2	TF	NPPA	Tar	Activation
HAND2	TF	PHOX2A	Tar	Activation
HAX1	TF	ATP2A2	Tar	Repression
HBP1	TF	CDKN1A	Tar	Repression
HBP1	TF	DNMT1	Tar	Repression
HBP1	TF	MIF	Tar	Repression
HBP1	TF	NCF1	Tar	Repression
HCFC1	TF	E2F1	Tar	Activation
HCFC1	TF	E2F4	Tar	Repression
HCFC1	TF	MMACHC	Tar	Unknown
HDAC1	TF	ABCB1	Tar	Repression
HDAC1	TF	ALOX15	Tar	Unknown
HDAC1	TF	APOC3	Tar	Unknown
HDAC1	TF	AR	Tar	Unknown
HDAC1	TF	BAMBI	Tar	Repression
HDAC1	TF	BCL2A1	Tar	Activation
HDAC1	TF	BIRC3	Tar	Activation
HDAC1	TF	BIRC5	Tar	Unknown
HDAC1	TF	BRCA2	Tar	Repression
HDAC1	TF	CCND1	Tar	Activation
HDAC1	TF	CCND1	Tar	Repression
HDAC1	TF	CCND2	Tar	Repression
HDAC1	TF	CD1D	Tar	Repression
HDAC1	TF	CD44	Tar	Repression
HDAC1	TF	CD82	Tar	Repression
HDAC1	TF	CDH1	Tar	Repression
HDAC1	TF	CDH1	Tar	Unknown
HDAC1	TF	CDKN1A	Tar	Repression
HDAC1	TF	CDKN1A	Tar	Unknown
HDAC1	TF	CDKN2A	Tar	Unknown
HDAC1	TF	CLDN7	Tar	Activation
HDAC1	TF	COL1A2	Tar	Activation
HDAC1	TF	COL1A2	Tar	Unknown
HDAC1	TF	CXCL8	Tar	Unknown
HDAC1	TF	CYP3A4	Tar	Unknown
HDAC1	TF	DEFB1	Tar	Unknown
HDAC1	TF	DNMT1	Tar	Unknown
HDAC1	TF	E2F1	Tar	Repression
HDAC1	TF	EGFR	Tar	Repression
HDAC1	TF	EGR1	Tar	Repression
HDAC1	TF	EIF2AK1	Tar	Repression
HDAC1	TF	EPCAM	Tar	Unknown
HDAC1	TF	ESR1	Tar	Repression
HDAC1	TF	ESR1	Tar	Unknown
HDAC1	TF	FOS	Tar	Repression
HDAC1	TF	GAD1	Tar	Repression
HDAC1	TF	GRIN2B	Tar	Activation
HDAC1	TF	HLA-DRA	Tar	Repression
HDAC1	TF	HMGCS1	Tar	Unknown
HDAC1	TF	HSPA5	Tar	Repression
HDAC1	TF	ICAM1	Tar	Activation
HDAC1	TF	IGFBP3	Tar	Activation
HDAC1	TF	IL2	Tar	Repression
HDAC1	TF	KLF4	Tar	Repression
HDAC1	TF	ABCB1	Tar	Unknown
HDAC1	TF	MGMT	Tar	Unknown
HDAC1	TF	MICA	Tar	Unknown
HDAC1	TF	MICB	Tar	Unknown
HDAC1	TF	MMP28	Tar	Repression
HDAC1	TF	MMP9	Tar	Repression
HDAC1	TF	NFKB1	Tar	Unknown
HDAC1	TF	NOS3	Tar	Unknown
HDAC1	TF	PCNA	Tar	Repression
HDAC1	TF	PCNA	Tar	Unknown
HDAC1	TF	PHB	Tar	Repression
HDAC1	TF	POU5F1	Tar	Unknown
HDAC1	TF	PSIP1	Tar	Unknown
HDAC1	TF	PTGS2	Tar	Activation
HDAC1	TF	RARB	Tar	Repression
HDAC1	TF	RECK	Tar	Activation
HDAC1	TF	RECK	Tar	Repression
HDAC1	TF	RECK	Tar	Unknown
HDAC1	TF	RECQL4	Tar	Repression
HDAC1	TF	RELN	Tar	Repression
HDAC1	TF	RGS10	Tar	Unknown
HDAC1	TF	RHOB	Tar	Repression
HDAC1	TF	RUNX3	Tar	Activation
HDAC1	TF	RUNX3	Tar	Repression
HDAC1	TF	RUNX3	Tar	Unknown
HDAC1	TF	SERPINB5	Tar	Unknown
HDAC1	TF	SFRP1	Tar	Unknown
HDAC1	TF	SMAD7	Tar	Unknown
HDAC1	TF	SNAI2	Tar	Repression
HDAC1	TF	SP1	Tar	Repression
HDAC1	TF	SPP1	Tar	Repression
HDAC1	TF	STAT3	Tar	Unknown
HDAC1	TF	TERT	Tar	Unknown
HDAC1	TF	TFF1	Tar	Repression
HDAC1	TF	TJP1	Tar	Repression
HDAC1	TF	TNFRSF10A	Tar	Unknown
HDAC1	TF	TP53	Tar	Repression
HDAC1	TF	TXNIP	Tar	Repression
HDAC10	TF	TXNIP	Tar	Repression
HDAC11	TF	IL10	Tar	Repression
HDAC11	TF	IL17A	Tar	Repression
HDAC11	TF	MYC	Tar	Unknown
HDAC11	TF	TNF	Tar	Repression
HDAC11	TF	TNFSF4	Tar	Activation
HDAC2	TF	ALOX5	Tar	Activation
HDAC2	TF	APAF1	Tar	Repression
HDAC2	TF	BMP7	Tar	Repression
HDAC2	TF	CAD	Tar	Unknown
HDAC2	TF	CCL2	Tar	Unknown
HDAC2	TF	CCNE1	Tar	Repression
HDAC2	TF	CD1D	Tar	Repression
HDAC2	TF	CDH1	Tar	Repression
HDAC2	TF	CDKN1A	Tar	Unknown
HDAC2	TF	COL1A2	Tar	Repression
HDAC2	TF	CXCL8	Tar	Repression
HDAC2	TF	CXCL8	Tar	Unknown
HDAC2	TF	DEC1	Tar	Unknown
HDAC2	TF	DNMT1	Tar	Repression
HDAC2	TF	GRM2	Tar	Unknown
HDAC2	TF	IGF1	Tar	Unknown
HDAC2	TF	KLF4	Tar	Repression
