Hugo Symbol	Is Oncogene	Is Tumor Suppressor Gene	OG_TSG
STAT1	No	No	None
STAT2	No	No	None
STAT4	No	No	None
STIL	No	No	None
STRN	No	No	None
TAF1	No	No	None
TCEA1	No	No	None
TCF12	No	No	None
TCL1B	Yes	No	OG
TEC	No	No	None
TERC	No	No	None
TFEB	No	No	None
TFPT	No	No	None
TFRC	No	No	None
TIPARP	No	No	None
TLE1	No	No	None
TLE2	No	No	None
TLE3	No	No	None
TLE4	No	No	None
TLL2	No	No	None
TMEM30A	No	No	None
TMSB4XP8	No	No	None
TNFRSF11A	No	No	None
TPR	No	No	None
TRIM27	No	No	None
TRIM33	No	No	None
TRRAP	No	No	None
TTL	No	No	None
TUSC3	No	No	None
TYRO3	No	No	None
WAS	No	No	None
WDCP	No	No	None
WDR90	No	No	None
WRN	No	No	None
WWP1	Yes	No	OG
XPA	No	No	None
XPC	No	No	None
YPEL5	No	No	None
YWHAE	No	No	None
YY1	Yes	No	OG
YY1AP1	No	No	None
ZBTB20	Yes	Yes	OG/TSG
ZBTB7A	No	No	None
ZFP36L1	No	Yes	TSG
ZMYM3	No	No	None
ZNF24	No	No	None
ZNF331	No	No	None
ZNF750	No	Yes	TSG
